"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.409079375E0,-2.086361389E0,-3.617078247E0,9.307195587E0,1.020098273E1
1.419126375E0,-2.329755249E0,-4.233945465E0,1.028541138E1,1.136414277E1
1.429172375E0,-1.880838776E0,-4.197122040E0,1.057775345E1,1.153439448E1
1.439218375E0,-1.127006378E0,-3.539689178E0,9.636660461E0,1.032786366E1
1.449265375E0,-9.928852844E-1,-2.653831329E0,8.312064972E0,8.781746182E0
1.459311375E0,-1.578617249E0,-1.700463867E0,7.314389648E0,7.673584932E0
1.469357375E0,-2.077829132E0,-1.686842194E0,8.073760529E0,8.505787416E0
1.479403375E0,-2.297871552E0,-2.925815735E0,9.803413696E0,1.048558684E1
1.489450375E0,-2.310744781E0,-3.821702728E0,1.174622360E1,1.256657161E1
1.499496375E0,-1.973795471E0,-3.911965027E0,1.307171722E1,1.378655614E1
1.509542375E0,-1.220861206E0,-2.953059082E0,1.251517456E1,1.291668124E1
1.519588375E0,-1.378184052E0,-2.250569916E0,1.247490829E1,1.275099185E1
1.529635375E0,-2.158062286E0,-2.064955902E0,1.284957916E1,1.319215526E1
1.539681375E0,-2.151475983E0,-1.642534332E0,1.203587128E1,1.233648918E1
1.549727375E0,-1.930385742E0,-1.440604248E0,1.089524323E1,1.115831773E1
1.559773375E0,-2.237546997E0,-1.454225922E0,1.035965698E1,1.069784475E1
1.569820375E0,-2.315684509E0,-1.343456268E0,9.412277069E0,9.785613375E0
1.579866375E0,-2.606080627E0,-1.194216614E0,9.009614410E0,9.454679338E0
1.589912375E0,-2.525248718E0,-1.066981201E0,9.284592590E0,9.680856860E0
1.599959375E0,-2.121687927E0,-6.798861694E-1,9.841734009E0,1.009076475E1
1.610005375E0,-2.061213684E0,-2.360591125E-1,1.080842377E1,1.100574169E1
1.620051375E0,-1.729952545E0,1.360670471E-1,1.157018967E1,1.169959568E1
1.630097375E0,-1.510658569E0,2.207908630E-1,1.153606064E1,1.163664612E1
1.640144375E0,-1.530417480E0,2.847079468E-1,1.126287872E1,1.136994606E1
1.650190375E0,-1.316811676E0,2.880010986E-1,1.116453323E1,1.124560981E1
1.660236375E0,-1.444496155E0,-1.990859985E-1,1.189067322E1,1.197974599E1
1.670282375E0,-2.083666992E0,-1.056502991E0,1.324939774E1,1.345378783E1
1.680329375E0,-2.183808746E0,-1.291214905E0,1.339983490E1,1.363788224E1
1.690375375E0,-1.514251099E0,-1.158141632E0,1.308069855E1,1.321888509E1
1.700421375E0,-8.598120117E-1,-1.143921204E0,1.206895248E1,1.215349524E1
1.710468375E0,-9.084608459E-1,-8.830137634E-1,1.201626205E1,1.208286258E1
1.720514375E0,-1.477727051E0,-7.435038757E-1,1.298340088E1,1.308836023E1
1.730560375E0,-2.366279297E0,-8.560697937E-1,1.369487137E1,1.392413857E1
1.740606375E0,-2.531236267E0,-7.815248108E-1,1.282757492E1,1.309826769E1
1.750653375E0,-1.818268890E0,-4.953199768E-1,1.124686203E1,1.140365508E1
1.760699375E0,-1.363963623E0,-3.923341370E-1,1.079076050E1,1.088369583E1
1.770745375E0,-1.429377594E0,-4.406835938E-1,1.106588837E1,1.116652174E1
1.780791375E0,-9.166937256E-1,-4.914280701E-1,1.114896561E1,1.119737751E1
1.790838375E0,-5.810916138E-1,-4.649331665E-1,1.130943192E1,1.133389080E1
1.800884375E0,-9.542655945E-1,-1.986369324E-1,1.134894974E1,1.139073042E1
1.810930375E0,-1.229243774E0,2.661465454E-1,1.122830063E1,1.129852244E1
1.820977375E0,-1.350641327E0,7.023394775E-1,1.077668976E1,1.088368296E1
1.831023375E0,-1.502874756E0,7.966433716E-1,1.033001862E1,1.046912402E1
1.841069375E0,-1.358425140E0,7.291337585E-1,1.022194336E1,1.033755682E1
1.851115375E0,-1.201401672E0,8.957373047E-1,1.012808853E1,1.023835380E1
1.861162375E0,-1.308728485E0,9.285191345E-1,1.018152740E1,1.030720225E1
1.871208375E0,-1.353784790E0,7.542814636E-1,1.023646317E1,1.035310832E1
1.881254375E0,-1.412013702E0,5.231620789E-1,1.012539413E1,1.023675181E1
1.891300375E0,-1.387315063E0,2.456391907E-1,9.932595062E0,1.003202005E1
1.901347375E0,-9.964778137E-1,7.038363647E-1,1.216999237E1,1.223098802E1
1.911393375E0,9.375004578E-1,9.810598755E-1,6.698121185E0,6.834194393E0
1.921439375E0,2.641257477E0,3.347339172E0,1.217163895E1,1.289688781E1
1.931486375E0,2.236948242E0,3.143014069E0,1.164114212E1,1.226371333E1
1.941532375E0,-1.229692841E0,2.552192688E-1,1.526899796E1,1.532056069E1
1.951578375E0,-3.044518890E0,-8.845106506E-1,1.342408447E1,1.379338603E1
1.961624375E0,-2.525697784E0,-5.655239868E-1,1.327394669E1,1.352392795E1
1.971671375E0,-5.905220032E-1,-1.320104828E0,9.567354584E0,9.676035693E0
1.981717375E0,-1.462458801E-1,-9.976753235E-1,9.095835114E0,9.151555077E0
1.991763375E0,-8.400531006E-1,1.308279419E-1,1.063224014E1,1.066617718E1
2.001809375E0,-1.148112488E-1,-4.126918030E-1,1.027762756E1,1.028655066E1
2.011856375E0,-6.499484253E-1,-4.739144897E-1,9.963430939E0,9.995848337E0
2.021902375E0,-9.942324829E-1,-4.454736328E-1,9.651180267E0,9.712477827E0
2.031948375E0,-2.243833923E0,-5.728587341E-1,8.955427094E0,9.250007148E0
2.041995375E0,-2.251318359E0,-9.011260986E-2,1.130554001E1,1.152787012E1
2.052041375E0,1.170266418E0,1.432371368E0,1.078641953E1,1.094385935E1
2.062087375E0,2.151475983E0,1.058299255E0,9.687404938E0,9.979712453E0
2.072133375E0,1.031055908E0,7.155120850E-2,1.000384689E1,1.005709444E1
2.082180375E0,-2.936892700E-1,3.847000122E-2,9.929601288E0,9.934018072E0
2.092226375E0,-2.424957275E-2,1.067280579E-1,9.806557159E0,9.807167901E0
2.102272375E0,-5.463638306E-2,7.828720093E-2,9.939480743E0,9.939939209E0
2.112318375E0,-4.715194702E-2,7.768844604E-2,9.853260040E0,9.853679121E0
2.122365375E0,-6.541397095E-2,7.619155884E-2,9.844727783E0,9.845239929E0
2.132411375E0,-5.433700562E-2,9.445358276E-2,9.858648834E0,9.859251028E0
2.142457375E0,-5.942642212E-2,7.619155884E-2,9.892628174E0,9.893100062E0
2.152504375E0,-5.298980713E-2,5.014572144E-2,9.861941986E0,9.862211834E0
2.162550375E0,-5.613327026E-2,6.047424316E-2,9.829908600E0,9.830254888E0
